SUPPLIER_NAME,SUPPLIER_ID,SUPPLIER_POSTCODE,SUPPLIER_COUNTRY,NUM_SUPPLIERS,CONTRACT_BUYER,CONTRACT_BUYER_POSTCODE,CONTRACT_TITLE,CONTRACT_DATE,CONTRACT_DESC,CONTRACT_URL,CONTRACT_VALUE,CONTRACT_CURRENCY
Bowmed Ibisqus Ltd,06204088,M15 4PY,UK,7,Department of Health and Social Care,SW1H 0EU,Dynamic Purchasing System (DPS) for the Supply of Antibiotics and IV Fluids,20200219,Call-off contracts under a dynamic purchasing system for the supply if antibiotics and intravenous fluids (call-off exercise Round 4).,http://ted.europa.eu/udl?uri=TED:NOTICE:083914-2020:TEXT:EN:HTML,9900000.00,GBP
Flynn Pharma Ltd,210742,,IE,7,Department of Health and Social Care,SW1H 0EU,Dynamic Purchasing System (DPS) for the Supply of Antibiotics and IV Fluids,20200219,Call-off contracts under a dynamic purchasing system for the supply if antibiotics and intravenous fluids (call-off exercise Round 4).,http://ted.europa.eu/udl?uri=TED:NOTICE:083914-2020:TEXT:EN:HTML,9900000.00,GBP
Hameln Pharmaceuticals Ltd,01034697,GL3 4AG,UK,7,Department of Health and Social Care,SW1H 0EU,Dynamic Purchasing System (DPS) for the Supply of Antibiotics and IV Fluids,20200219,Call-off contracts under a dynamic purchasing system for the supply if antibiotics and intravenous fluids (call-off exercise Round 4).,http://ted.europa.eu/udl?uri=TED:NOTICE:083914-2020:TEXT:EN:HTML,9900000.00,GBP
Fannin UK Ltd t/a Kent Pharmaceuticals Ltd,02663514,DE12 7DT,UK,7,Department of Health and Social Care,SW1H 0EU,Dynamic Purchasing System (DPS) for the Supply of Antibiotics and IV Fluids,20200219,Call-off contracts under a dynamic purchasing system for the supply if antibiotics and intravenous fluids (call-off exercise Round 4).,http://ted.europa.eu/udl?uri=TED:NOTICE:083914-2020:TEXT:EN:HTML,9900000.00,GBP
Sandoz Ltd,01547204,GU16 7SR,UK,7,Department of Health and Social Care,SW1H 0EU,Dynamic Purchasing System (DPS) for the Supply of Antibiotics and IV Fluids,20200219,Call-off contracts under a dynamic purchasing system for the supply if antibiotics and intravenous fluids (call-off exercise Round 4).,http://ted.europa.eu/udl?uri=TED:NOTICE:083914-2020:TEXT:EN:HTML,9900000.00,GBP
Strandhaven Ltd t/a Somex Pharma Ltd,01413692,IG3 8BS,UK,7,Department of Health and Social Care,SW1H 0EU,Dynamic Purchasing System (DPS) for the Supply of Antibiotics and IV Fluids,20200219,Call-off contracts under a dynamic purchasing system for the supply if antibiotics and intravenous fluids (call-off exercise Round 4).,http://ted.europa.eu/udl?uri=TED:NOTICE:083914-2020:TEXT:EN:HTML,9900000.00,GBP
Galleon Travel 2009 Ltd,,,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Metroline Travel Ltd,,,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Centrebus Ltd,,LE4 9HU,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Landmark Coaches Ltd,,SG5 1JQ,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Universitybus Ltd trading as Uno,,AL10 9BS,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Red Eagle Buses Ltd,,HP17 8TT,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Galleon Travel 2009 Ltd,,CM19 5JW,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
H V Richmond Ltd,,SG 8 8JA,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Arriva Kent Thameside Ltd,,SR3 3XP,UK,9,Hertfordshire County Council,SG13 8DE,HCC - 11/19 — Provision of Local Bus and School Coach Services Starting April 2020,20200219,This is an award notice and this opportunity is now closed. Please see Section V) (award of contract) for further details.,http://ted.europa.eu/udl?uri=TED:NOTICE:083956-2020:TEXT:EN:HTML,4349100,GBP
Willis Ltd,,EC3M 7DQ,UK,1,The Corporation of Trinity House,EC3N 4DH,GLA Insurance,20200219,"The Corporation of Trinity House on behalf of itself and the other General Lighthouse Authorities (GLAs) of the United Kingdom and The Republic of Ireland invites potential tenderers to submit a proposal for the brokerage, provision and management of insurance requirements for the GLAs between 2020-2023.",http://ted.europa.eu/udl?uri=TED:NOTICE:083957-2020:TEXT:EN:HTML,4500000,GBP
Vermicon,,KY5 0HH,UK,7,Tayside Procurement Consortium,DD8 3DZ,Provision of Rural Grass Cutting and Verge Maintenance,20200219,Provision of rural grass cutting and verge maintenance for the participating councils of Angus Council and Perth and Kinross Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:083959-2020:TEXT:EN:HTML,1720000,GBP
Bilsland and Dewar,,PH5 2AX,UK,7,Tayside Procurement Consortium,DD8 3DZ,Provision of Rural Grass Cutting and Verge Maintenance,20200219,Provision of rural grass cutting and verge maintenance for the participating councils of Angus Council and Perth and Kinross Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:083959-2020:TEXT:EN:HTML,1720000,GBP
RA Laird contractors,,PH9 ONR,UK,7,Tayside Procurement Consortium,DD8 3DZ,Provision of Rural Grass Cutting and Verge Maintenance,20200219,Provision of rural grass cutting and verge maintenance for the participating councils of Angus Council and Perth and Kinross Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:083959-2020:TEXT:EN:HTML,1720000,GBP
Matthew Brown and Son,,DD8 4LR,UK,7,Tayside Procurement Consortium,DD8 3DZ,Provision of Rural Grass Cutting and Verge Maintenance,20200219,Provision of rural grass cutting and verge maintenance for the participating councils of Angus Council and Perth and Kinross Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:083959-2020:TEXT:EN:HTML,1720000,GBP
RA Laird Contractors,,PH9 ONR,UK,7,Tayside Procurement Consortium,DD8 3DZ,Provision of Rural Grass Cutting and Verge Maintenance,20200219,Provision of rural grass cutting and verge maintenance for the participating councils of Angus Council and Perth and Kinross Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:083959-2020:TEXT:EN:HTML,1720000,GBP
Duncan and Cameron,,DD7 6LE,UK,7,Tayside Procurement Consortium,DD8 3DZ,Provision of Rural Grass Cutting and Verge Maintenance,20200219,Provision of rural grass cutting and verge maintenance for the participating councils of Angus Council and Perth and Kinross Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:083959-2020:TEXT:EN:HTML,1720000,GBP
GJ Services,,AB42 5AA,UK,7,Tayside Procurement Consortium,DD8 3DZ,Provision of Rural Grass Cutting and Verge Maintenance,20200219,Provision of rural grass cutting and verge maintenance for the participating councils of Angus Council and Perth and Kinross Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:083959-2020:TEXT:EN:HTML,1720000,GBP
Addaction,,EC1M 4DH,UK,1,Darlington Borough Council,DL1 5QT,"P2019/1806/PE — STRIDE (Support, Treatment and Recovery in Darlington through Empowerment)",20200219,"P2019/1806/PE — STRIDE (Support, Treatment and Recovery in Darlington through Empowerment).",http://ted.europa.eu/udl?uri=TED:NOTICE:083964-2020:TEXT:EN:HTML,10400000,GBP
College Health Ltd,,ME15 6SB,UK,1,NHS Castle Point and Rochford Clinical Commissioning Group,SS6 7QF,Essex Urgent Primary Medical Care Pseudo Dynamic Purchasing System,20200219,"The contracting authorities have established a pseudo dynamic purchasing system (PDPS) for the provision of urgent (parachute/caretaking) primary medical care services in accordance with NHS England Standard General Medical Services Regulations and alternative provider medical services directions, having full regard to the NHS England Primary Medical Care Policy and Guidance Manual (PGM). The contracting authorities invited responses from suitably qualified and experienced providers to apply to join the PDPS approved provider list and are issuing this contract award notice to communicate those organisations who were successfully appointed to the aforementioned PDPS.",http://ted.europa.eu/udl?uri=TED:NOTICE:083969-2020:TEXT:EN:HTML,57456000,GBP
EMIS Ltd,,LS19 7BY,UK,1,NHS Greater Glasgow and Clyde,G4 0SF,GP IT Systems,20200219,"GP IT Systems for patient administration, clinical applications and associated services for 219 practices in the Greater Glasgow and Clyde Health Board region currently provided by EMIS Health. These applications comply with the Scottish Enhanced Functionality (SEF) requirement.",http://ted.europa.eu/udl?uri=TED:NOTICE:083971-2020:TEXT:EN:HTML,2750000,GBP
Microsoft (Ireland) Operations Ltd,,,IE,1,Business Services Organisation,BT1 4JR,Microsoft Premier Support,20200219,"Each year BSO require significant support with the implementation, management and ongoing development of a range of Microsoft Technologies which include:",http://ted.europa.eu/udl?uri=TED:NOTICE:083985-2020:TEXT:EN:HTML,1500000.00,GBP
gutcare,gutcare,RM11 1EX,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Healthcare Business Solutions Medical Services Ltd,9244113,HU15 1BS,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
ICS Operations Limited,ICS Operations Limited,N19NG,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Matrix Health Services UK Ltd,NAH01,DH4 5QY,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Medicare Insourcing Services Ltd,11457635,SE1 2QE,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Medinet Clinical Services Ltd,United Kingdom,B75 5BL,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Omnes Healthcare,05418732,SE1 0HS,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Remedy Healthcare Solutions Ltd,264982267,SE21 8EN,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
The Endoscopy Group,09853305,CM129DF,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Totally Healthcare,11847196,DE1 8QT,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Your World Recruitment,945685672,EC2A 2EW,UK,11,NHS Shared Business Services Ltd (NHS SBS),M50 2UW,Insourcing of Clinical Support Services,20200219,Insourcing of clinical support services.,http://ted.europa.eu/udl?uri=TED:NOTICE:083987-2020:TEXT:EN:HTML,30000000.00,GBP
Arcadis LLP,,N1 9AB,UK,5,Efficiency East Midlands Ltd,DE55 2DS,Vehicle Charging Infrastructure,20200219,"Efficiency East Midlands Ltd (EEM) is a procurement consortium which establishes and manages a range of framework agreements and dynamic purchasing systems. Our members include organisations providing services to the whole public sector including social housing providers, local authorities, blue light services and education and health related organisations.",http://ted.europa.eu/udl?uri=TED:NOTICE:083990-2020:TEXT:EN:HTML,100000000.00,GBP
Grafton Merchanting GB Ltd,,B47 6LW,UK,5,Efficiency East Midlands Ltd,DE55 2DS,Vehicle Charging Infrastructure,20200219,"Efficiency East Midlands Ltd (EEM) is a procurement consortium which establishes and manages a range of framework agreements and dynamic purchasing systems. Our members include organisations providing services to the whole public sector including social housing providers, local authorities, blue light services and education and health related organisations.",http://ted.europa.eu/udl?uri=TED:NOTICE:083990-2020:TEXT:EN:HTML,100000000.00,GBP
Aberla M&E,,WA2 0YL,UK,5,Efficiency East Midlands Ltd,DE55 2DS,Vehicle Charging Infrastructure,20200219,"Efficiency East Midlands Ltd (EEM) is a procurement consortium which establishes and manages a range of framework agreements and dynamic purchasing systems. Our members include organisations providing services to the whole public sector including social housing providers, local authorities, blue light services and education and health related organisations.",http://ted.europa.eu/udl?uri=TED:NOTICE:083990-2020:TEXT:EN:HTML,100000000.00,GBP
Swarco UK Ltd,,HP2 7RA,UK,5,Efficiency East Midlands Ltd,DE55 2DS,Vehicle Charging Infrastructure,20200219,"Efficiency East Midlands Ltd (EEM) is a procurement consortium which establishes and manages a range of framework agreements and dynamic purchasing systems. Our members include organisations providing services to the whole public sector including social housing providers, local authorities, blue light services and education and health related organisations.",http://ted.europa.eu/udl?uri=TED:NOTICE:083990-2020:TEXT:EN:HTML,100000000.00,GBP
ENGIE EV Solutions,,EC2A 2BF,UK,5,Efficiency East Midlands Ltd,DE55 2DS,Vehicle Charging Infrastructure,20200219,"Efficiency East Midlands Ltd (EEM) is a procurement consortium which establishes and manages a range of framework agreements and dynamic purchasing systems. Our members include organisations providing services to the whole public sector including social housing providers, local authorities, blue light services and education and health related organisations.",http://ted.europa.eu/udl?uri=TED:NOTICE:083990-2020:TEXT:EN:HTML,100000000.00,GBP
East Kent Hospitals University NHS Foundation Trust,654970700,CT1 3NG,UK,1,NHS East Kent CCG's,CT9 1XZ,NHS East Kent CCG Urgent Treatment Centres,20200219,"NHS Arden and Greater East Midlands CSU (AGCSU) on behalf of The East Kent CCGs (NHS Ashford CCG, NHS Canterbury and Coastal CCG, NHS South Kent Coast CCG and NHS Thanet CCG) (referred to as the Commissioner(s)) are inviting suitably qualified and experienced providers to deliver the service(s).",http://ted.europa.eu/udl?uri=TED:NOTICE:083992-2020:TEXT:EN:HTML,60734586.00,GBP
Bedazzle Arts Ltd,,,UK,1,Cambridgeshire County Council,CB3 0AP,Cambridgeshire County Council Day Opportunities for Adults with a Learning Disability,20200219,"Cambridgeshire County Council is commissioning day opportunities for adults with a learning disability, setting up an open framework for a period of 10 years. This means that the framework will re-open at intervals to allow for new and previously unsuccessful providers to apply to join. There are 2 lots:",http://ted.europa.eu/udl?uri=TED:NOTICE:084014-2020:TEXT:EN:HTML,20000000.00,GBP
Midland Mencap,,B32 3BZ,UK,4,Warwickshire County Council,CV34 4RH,Provision of Short Breaks for Children with Disabilities,20200219,"To provide residential and community short break services to children and young people with a disability. This could be during the daytime including after school, weekends school holidays and overnight community/residential short breaks, operating in both a planned manner and in response to crisis or emergency situations.",http://ted.europa.eu/udl?uri=TED:NOTICE:084015-2020:TEXT:EN:HTML,4672500.00,GBP
Take-a-Break Warwickshire Ltd,,CV6 6BN,UK,4,Warwickshire County Council,CV34 4RH,Provision of Short Breaks for Children with Disabilities,20200219,"To provide residential and community short break services to children and young people with a disability. This could be during the daytime including after school, weekends school holidays and overnight community/residential short breaks, operating in both a planned manner and in response to crisis or emergency situations.",http://ted.europa.eu/udl?uri=TED:NOTICE:084015-2020:TEXT:EN:HTML,4672500.00,GBP
Action for Children Services Ltd,,WD18 8AG,UK,4,Warwickshire County Council,CV34 4RH,Provision of Short Breaks for Children with Disabilities,20200219,"To provide residential and community short break services to children and young people with a disability. This could be during the daytime including after school, weekends school holidays and overnight community/residential short breaks, operating in both a planned manner and in response to crisis or emergency situations.",http://ted.europa.eu/udl?uri=TED:NOTICE:084015-2020:TEXT:EN:HTML,4672500.00,GBP
,,,,4,Warwickshire County Council,CV34 4RH,Provision of Short Breaks for Children with Disabilities,20200219,"To provide residential and community short break services to children and young people with a disability. This could be during the daytime including after school, weekends school holidays and overnight community/residential short breaks, operating in both a planned manner and in response to crisis or emergency situations.",http://ted.europa.eu/udl?uri=TED:NOTICE:084015-2020:TEXT:EN:HTML,4672500.00,GBP
Jelf Insurance Brokers Ltd,00837227,BS37 6JX,UK,1,Southern Water Services Ltd,BN13 3NX,Insurance Broking and Associated Services,20200219,"Southern Water will contract with a single service provider for the provision of insurance broking and associated services, which include risk management and claims assistance.",http://ted.europa.eu/udl?uri=TED:NOTICE:084020-2020:TEXT:EN:HTML,11500000.00,GBP
Taylor French Developments Ltd,,MK18 3JL,UK,1,Settle Group,SG6 1HA,Roker Park Development,20200220,"Demolition of an existing football clubhouse, design and construction of 62 new residential units, external works and landscaping.",http://ted.europa.eu/udl?uri=TED:NOTICE:086302-2020:TEXT:EN:HTML,8500944.00,GBP
R.G. Carter Ltd,,,UK,1,City College Norwich,NR2 2LJ,"City College Norwich, DigiTEch Factory",20200220,Provision of main contractor construction works for CCN DigiTech Factory Project.,http://ted.europa.eu/udl?uri=TED:NOTICE:086303-2020:TEXT:EN:HTML,6873406.27,GBP
Tolent Construction Ltd,,NE11 0NL,UK,1,Gentoo Group Ltd,SR3 3XR,DPS for Construction and Development Works Ref DN387749: Notice of Award of Contract,20200220,Dynamic purchasing system (DPS) for construction and development works Ref DN387749.,http://ted.europa.eu/udl?uri=TED:NOTICE:086304-2020:TEXT:EN:HTML,5096473,GBP
Amble Electrical Distributors Ltd,,LU2 0NT,UK,2,ESPO,LE19 1ES,59_20 – Street Lighting Solutions,20200220,"This is to be a national framework arrangement, via which eligible public sector organisations across the UK, can arrange for the supply and delivery of a wide range of street light luminaires (and associated products/services) and street light columns (and associated products/services) from a choice of suppliers. The framework to be established is intended to meet the requirements of local government and public sector bodies.",http://ted.europa.eu/udl?uri=TED:NOTICE:086318-2020:TEXT:EN:HTML,40000000,GBP
CU Lighting Ltd,,SG12 9TA,UK,2,ESPO,LE19 1ES,59_20 – Street Lighting Solutions,20200220,"This is to be a national framework arrangement, via which eligible public sector organisations across the UK, can arrange for the supply and delivery of a wide range of street light luminaires (and associated products/services) and street light columns (and associated products/services) from a choice of suppliers. The framework to be established is intended to meet the requirements of local government and public sector bodies.",http://ted.europa.eu/udl?uri=TED:NOTICE:086318-2020:TEXT:EN:HTML,40000000,GBP
Dawson Group Bus and Coach,,,UK,1,Somerset County Council,TA1 4DY,Lease of Buses/Coaches and Maintenance,20200220,5 buses for SCC to transport school children.,http://ted.europa.eu/udl?uri=TED:NOTICE:086320-2020:TEXT:EN:HTML,1392000,GBP
Danfysik A/S,,,DK,1,UK Research and Innovation,SN2 1FL,UK SBS PR19087 DC Power Supplies for Riken Upgrade,20200220,"This requirement is concerned with the design, manufacture, testing, documentation and delivery of DC power supplies for Riken Beamline Upgrade for the use at the ISIS Facility at STFC RAL, full details of which are contained in the UK SBS PR19087 Specification document (and any other associated documentation).",http://ted.europa.eu/udl?uri=TED:NOTICE:086324-2020:TEXT:EN:HTML,1063644,GBP
Atalian Servest Ltd,,IP28 6LG,UK,1,Saxon Weald,RH12 1DT,Procurement of Catering Services,20200220,The provision of catering services across 11 extra care schemes.,http://ted.europa.eu/udl?uri=TED:NOTICE:086360-2020:TEXT:EN:HTML,6439566.00,GBP
Caterlink,,TN2 4HS,UK,1,Tricon Catering Consultancy,RM1 3NH,Barking and Dagenham schools catering Tender,20200220,Provision of catering services to 4 primary schools.,http://ted.europa.eu/udl?uri=TED:NOTICE:086365-2020:TEXT:EN:HTML,1900000,GBP
BOC Ltd,,BT5 6RW,UK,1,Procurement and Logistics Service,BT12 6HU,Home Oxygen Services [2547720],20200220,Provision of home oxygen services.,http://ted.europa.eu/udl?uri=TED:NOTICE:086370-2020:TEXT:EN:HTML,14806563.88,GBP
Alcura UK Ltd,,GU34 2QJ,UK,1,The Common Services Agency (more commonly known as NHS National Services Scotland) (‘NSS’),EH12 9EB,Homecare Delivery of Blood Clotting Factors,20200220,The provision of a home delivery service on behalf of NHS Scotland for the delivery of blood clotting factor medicines to patient homes across NHS Scotland.,http://ted.europa.eu/udl?uri=TED:NOTICE:086373-2020:TEXT:EN:HTML,1200000,GBP
Infosys Ltd,,E14 5NP,UK,1,The Open University,MK7 6BP,Contract for Technology Partner,20200220,"The Open University have awarded a new contract to the current technology partner to provide technical support in a number of ways for both business as usual (BAU) and Core System Replacement (CSR) activities, particularly in relation to a number of legacy OU bespoke systems which are critical to the OU's day to day operation.",http://ted.europa.eu/udl?uri=TED:NOTICE:086378-2020:TEXT:EN:HTML,60000000.00,GBP
Cycle Training Ltd,,ST15 0SR,UK,1,Staffordshire County Council,ST16 2DH,The supply of Bikebility Cycle Training (Framework Agreement),20200220,Staffordshire County Council are conducting a tender process to appoint a single provider for a framework to provide Bikeability Cycle Training to Schools within Staffordshire and Stoke-on-Trent. Stoke-on-Trent City Council can call off from this framework. Refer to the procurement documentation for the full specification.,http://ted.europa.eu/udl?uri=TED:NOTICE:086380-2020:TEXT:EN:HTML,1154250.00,GBP
Essex Partnership University NHS Foundation Trust,,SS11 7XX,UK,1,NHS North East Essex Clinical Commissioning Group,CO4 9QR,Improving Access to Psychological Therapies (IAPT) Service in North East Essex,20200220,NHS North East Essex Clinical Commissioning Group invited suitably qualified and experienced providers to submit tenders for the provision of an Improving access to psychological therapies (IAPT) service.,http://ted.europa.eu/udl?uri=TED:NOTICE:086383-2020:TEXT:EN:HTML,53424777.0,GBP
Shropshire Community Health NHS Trust,,SY8 8XL,UK,1,NHS England (North Midlands),WS15 1UL,School Aged Immunisation Service for Shropshire and Telford and Wrekin,20200220,"NHS England (Public Health, North Midlands) has commissioned a school aged immunisation service in Shropshire (including Telford and Wrekin). The contract is for an initial period of 3 years with the option to extend for a further 1 year. The contract start date is 1.9.2019.",http://ted.europa.eu/udl?uri=TED:NOTICE:086390-2020:TEXT:EN:HTML,1600000.00,GBP
Tai Calon,,NP133JW,UK,1,Blaenau Gwent County Borough Council,NP13 1DB,Low Level Generic Floating Support for Vulnerable People,20200220,Blaenau Gwent County Borough Council commissions a number of supporting people services that provides housing related support to vulnerable people within the locality.,http://ted.europa.eu/udl?uri=TED:NOTICE:086398-2020:TEXT:EN:HTML,1011392.08,GBP
Couch Perry and Wilkes LLP,,B904LH,UK,1,University of Birmingham,B15 2TT,Framework Agreement for the Provision of Mechanical and Electrical Design Services,20200220,This opportunity is to create a University of Birmingham Mechanical and Electrical Design Consultancy Framework Agreement with the ability to support other HE Sector Organisations and to develop local initiatives for University Projects. It is anticipated that the framework agreement will be for 10 years and will be based on the University of Birmingham construction project pipeline which is estimated to be in the region of 700 000 000 GBP.,http://ted.europa.eu/udl?uri=TED:NOTICE:086400-2020:TEXT:EN:HTML,1000000000.00,EUR
Slimming World,,DE55 4RF,UK,3,Tower Hamlets,E14 2BG,HAC5393B Tier 2 Weight Management Services (Dynamic Purchasing System),20200220,Delivery of tier 2 weight management services face to face FC1,http://ted.europa.eu/udl?uri=TED:NOTICE:086401-2020:TEXT:EN:HTML,1470000,GBP
Social Action for Health,,E8 3DQ,UK,3,Tower Hamlets,E14 2BG,HAC5393B Tier 2 Weight Management Services (Dynamic Purchasing System),20200220,Delivery of tier 2 weight management services face to face FC1,http://ted.europa.eu/udl?uri=TED:NOTICE:086401-2020:TEXT:EN:HTML,1470000,GBP
Solutions 4 Health,,RG1 8EQ,UK,3,Tower Hamlets,E14 2BG,HAC5393B Tier 2 Weight Management Services (Dynamic Purchasing System),20200220,Delivery of tier 2 weight management services face to face FC1,http://ted.europa.eu/udl?uri=TED:NOTICE:086401-2020:TEXT:EN:HTML,1470000,GBP
Working Well Trust,,E2 9AX,UK,1,NEL Commissioning Support Unit,SE1 7NT,PRJ-875 Tower Hamlets Individual Placement and Support,20200220,Individual Placement and Support (IPS) is an evidence based model of employment support for people with mental health problems.,http://ted.europa.eu/udl?uri=TED:NOTICE:086404-2020:TEXT:EN:HTML,2040000.00,GBP
ADP,,B13ND,UK,1,University of Birmingham,B15 2TT,Framework Agreement for the Provision of Multi Disciplinary Design Consultancy Services,20200220,This opportunity is to create a University of Birmingham Multi Disciplinary Design Consultancy Framework Agreement with the ability to support other HE sector organisations and to develop local initiatives for University Projects. It is anticipated that the framework agreement will be for 10 years and will be based on the University of Birmingham construction project pipeline which is estimated to be in the region of 700 000 000 GBP. The framework is expected to generate partnership working and to develop long term relationships.,http://ted.europa.eu/udl?uri=TED:NOTICE:086407-2020:TEXT:EN:HTML,1000000000.00,EUR
PA Consulting Services Limited,,SW1W 5DN,UK,1,Dorset Council,DT1 1UZ,Provision of a Technology Enabled Care Service (Whole of Life),20200220,"Dorset Council currently commissions a range of services to promote independent living and is seeking a development partner to work with the Council on the development, provision and management of a Technology Enabled Care Service (TEC) (whole of life). The contract will include the provision of the following service elements:",http://ted.europa.eu/udl?uri=TED:NOTICE:086409-2020:TEXT:EN:HTML,3555230,GBP
CMS Cameron McKenna Nabarro Olswang LLP,,M3 3AP,UK,1,General Pharmaceutical Council,E14 5LQ,Provision of Legal Services to the General Pharmaceutical Council (GPhC),20200220,Provision of legal services to the General Pharmaceutical Council (GPhC).,http://ted.europa.eu/udl?uri=TED:NOTICE:086411-2020:TEXT:EN:HTML,3000000,GBP
AA Projects Ltd,,B11TT,UK,1,University of Birmingham,B15 2TT,Framework Agreement for the Provision of Construction Surveying Consultancy Services,20200220,This opportunity is to create a University of Birmingham Construction Surveying Consultancy Framework Agreement with the ability to support other HE sector organisations and to develop local initiatives for University Projects. It is anticipated that the framework agreement will be for 10 years and will be based on the University of Birmingham construction project pipeline which is estimated to be in the region of 700 000 000 GBP. The framework is expected to generate partnership working and to develop long term relationships.,http://ted.europa.eu/udl?uri=TED:NOTICE:086412-2020:TEXT:EN:HTML,1000000000.00,EUR
